event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus
E:MXKHS3XJDQ_1,"32, 33, 34, 35, 36",General Teaching,60,2,Tuesday,12,,
E:S7RL29I5UD_1,"27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,14,1,Wednesday,17,,
E:VMVOTLEOD7_1,"10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,13,1,Thursday,9,,
E:2UGT1BG3HK_1,"10, 11, 12",General Teaching,50,1,Tuesday,12,,
E:NVBM4J7H96_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,12,1,Wednesday,9,,
E:1TJIRZBZWJ_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,18,1,Wednesday,14,,
E:M9RBKCGYGR_1,"30, 32, 33, 34, 35, 36, 37",General Teaching,6,2,Tuesday,12,,
E:6E5SSQRMOQ_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Monday,13,,
E:X7PGPCL4RX_1,"35, 36",General Teaching,8,2,Tuesday,10,,
E:DFMFFHBMLI_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,18,1,Friday,17,,
E:FXLEOE44SU_1,"35, 36",General Teaching,8,2,Thursday,12,,
E:2UYQNP5EXH_1,"10, 12, 17",Computer Laboratory,25,1,Monday,9,,
E:7QSKBQMW1L_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,25,2,Wednesday,10,,
E:WKEE42R592_1,"28, 34",Computer Laboratory,40,1,Friday,14,,
E:W831HKZUOC_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Wednesday,11,,
E:B65XY9STIU_1,"26, 27",General Teaching,120,2,Wednesday,14,,
E:6SWGFLGAKD_1,"10, 14, 19",No room required,24,2,Monday,9,,
E:SAVNSZ8CHL_1,"28, 30, 34",Computer Laboratory,28,1,Thursday,17,,
E:XXNJO7CEHD_1,"11, 17",Computer Laboratory,44,1,Wednesday,14,,
E:FKNT5BCN6S_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,24,2,Friday,9,,
E:G1SCURZTTV_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,22,1,Wednesday,9,,
E:CWSZZMQ9EQ_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",Computer Laboratory,44,1,Friday,13,,
E:588NBH5L6U_1,"27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,10,1,Monday,10,,
E:UO5JDWPJPF_1,"10, 12, 16, 18",General Teaching,15,1,Monday,11,,
E:JANPI6NTLI_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,19,1,Thursday,12,,
E:N826VTZKXB_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,19,1,Monday,17,,
E:JOUB7555HW_1,"11, 12, 15, 18",General Teaching,25,1,Tuesday,17,,
E:ZRCSXQXWDM_1,"10, 11, 12, 13, 15, 16, 17, 18",General Teaching,80,2,Friday,13,,
E:RAD7HST47V_1,"12, 13, 15, 16, 17, 18",General Teaching,30,1,Monday,12,,
E:IP4FLLNKA5_1,"15, 16, 17, 18, 19",General Teaching,32,2,Wednesday,9,,
E:RV6J6RK16I_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,18,1,Tuesday,12,,
E:N3E7F4QURW-00001_1,"32, 33, 34, 35, 36",General Teaching,140,2,Tuesday,12,,
E:HT9QV2UIE3_1,"9, 10, 11, 12, 13",General Teaching,32,2,Thursday,15,,
E:XW6X1TW8IQ_1,"32, 33, 35, 36",Computer Laboratory,28,1,Thursday,13,,
E:O4T7BT9JA9_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",General Teaching,22,1,Thursday,17,,
E:5KIH6HSQ4S_1,"10, 11, 12",General Teaching,50,1,Thursday,11,,
E:9FJEIZPENZ_1,"15, 16, 17, 18, 19",General Teaching,65,1,Thursday,11,,
E:MGVBOQGWFP_1,"15, 16, 17, 18",General Teaching,33,2,Wednesday,13,,
E:8Z355SAB1H_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,100,1,Friday,12,,
E:8KUEQJ5VRX_1,"11, 17",Computer Laboratory,44,1,Monday,9,,
E:IS78F6L5ZY_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,110,1,Tuesday,17,,
E:6KRU79RDA1_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Tuesday,17,,
E:JXR9U9UMXG_1,"10, 11, 12, 13, 14",Art Studio,12,3,Thursday,9,,
E:ZTCWDTMDDJ_1,"28, 29, 30, 32, 33, 34, 35, 36",Computer Laboratory,13,1,Friday,10,,
E:YM5KKR5O56_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",General Teaching,10,2,Friday,9,,
E:UT6G7X3OP4_1,"30, 35",No room required,110,1,Monday,9,,
E:PBN4HWXNCM_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Thursday,17,,
E:LLUGMC74NW_1,"27, 28, 29, 30, 33, 34",Computer Laboratory,44,1,Wednesday,17,,
E:213A2XHFEF_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,15,1,Tuesday,14,,
E:RX3NIHR3CK_1,"30, 36",General Teaching,40,1,Wednesday,10,,
E:PUKV4YAZX1_1,"27, 28, 29, 30, 33, 34",Computer Laboratory,44,1,Friday,9,,
E:9XRFIEIQBN_1,"9, 10, 11, 12, 15, 16, 17, 18",General Teaching,60,1,Thursday,14,,
E:R6JACKRMI5_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,85,2,Friday,9,,
E:YY8JHPSFFH_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,18,1,Monday,13,,
E:FNUTTSUPRL_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Thursday,9,,
E:PP6RHAZ1F6_1,"12, 13, 15, 16, 17, 18",General Teaching,30,1,Thursday,14,,
E:7DZ9S82N11_1,"27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,14,1,Wednesday,10,,
E:1D226HFXRT_1,"10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,100,2,Wednesday,13,,
E:PXORT1C7TH_1,"26, 27, 28, 29, 30, 33, 34, 35",General Teaching,90,2,Friday,12,,
E:HRAACTQ8VI_1,"15, 17",Computer Laboratory,25,1,Wednesday,9,,
E:IXCH8D99CR_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,18,1,Monday,15,,
E:ZSSL9KD3KY_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,40,2,Friday,9,,
E:2SBN1VY6IS_1,"12, 17, 19",Computer Laboratory,20,2,Friday,12,,
E:PIT23E93WU_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,22,1,Wednesday,11,,
E:ETWCITTANS_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,90,1,Thursday,17,,
E:KI2OSYRZUC_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,18,1,Friday,14,,
E:ER94SJFIQK_1,"26, 27, 28, 29, 30",General Teaching,80,1,Thursday,13,,
E:WFA9Z8BEL6_1,"32, 33, 34",General Teaching,45,2,Friday,16,,
E:G5JFJK1ONZ_1,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,25,2,Tuesday,11,,
E:64PXKYR1LE_1,"10, 12, 16, 18",General Teaching,15,1,Friday,15,,
E:V5S71MO2UM_1,"27, 28, 29",Computer Laboratory,25,1,Friday,13,,
E:DK45W41IBF_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,36,1,Wednesday,12,,
E:N5KKGYCEND_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,14,1,Friday,10,,
E:11OAYP4QJA_1,"27, 28, 29, 30, 32, 33, 34",General Teaching,68,2,Tuesday,11,,
E:G8SCMJYVUP_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,45,2,Tuesday,10,,
E:V4GBNL1SEE_1,"28, 29, 30, 32, 33, 34",General Teaching,120,2,Thursday,15,,
E:VLM24PBAXP_1,"27, 28, 29, 30, 32, 33, 34, 35",General Teaching,20,2,Wednesday,16,,
E:XBW5KCSQVX_1,"9, 10, 11, 12, 13",General Teaching,126,2,Monday,13,,
E:X2O9T9WPS9_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Thursday,16,,
E:WYM6UXZOWJ_1,"28, 29, 30, 32, 33, 34, 35, 36, 37",General Teaching,44,1,Monday,14,,
E:BBMZKNGBBE_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,12,1,Monday,10,,
E:ZDU3WYEVJP_1,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",General Teaching,72,1,Monday,9,,
E:YDKY2LP84Z_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,15,1,Tuesday,10,,
E:Y8KHX7NR4A_1,"12, 17, 19",Computer Laboratory,20,2,Monday,11,,
E:VR5VKON81U_1,"26, 28, 33, 37",General Teaching,160,2,Friday,11,,
E:JXR9U9UMXG_2,"10, 11, 12, 13, 14",Art Studio,12,3,Tuesday,11,,
E:2NKM6SSIYV_1,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,45,3,Friday,13,,
E:J2UDKXDSM6_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,458,1,Monday,13,,
E:O8HU1JZFVQ_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,14,1,Wednesday,15,,
E:1KKYP48S2S_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,18,1,Monday,16,,
E:TO2WS6X492_1,"9, 10, 11, 12, 13, 15, 16, 17, 18",General Teaching,400,2,Thursday,11,,
E:M6URK9ZUVK_1,"15, 16, 17, 18",General Teaching,65,2,Tuesday,14,,
E:2CJPLCVUDJ_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,12,1,Thursday,14,,
E:IJ7PCKV594_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,18,2,Thursday,10,,
E:JH8VVS5D8B_1,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,200,1,Friday,16,,
E:L2Q83DS4P1_1,"15, 16, 17",General Teaching,100,2,Wednesday,10,,
E:R276JISFO8_1,"9, 10, 11, 12",General Teaching,65,2,Monday,10,,
E:SH4XSIVYTS_1,"10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,13,1,Friday,14,,
E:YIN64PAS9H_1,"10, 11, 12, 13, 14",General Teaching,14,2,Friday,12,,
E:4HRHARLXV6_1,"10, 11, 12, 13, 14, 15, 16, 17, 18",General Teaching,20,1,Wednesday,16,,
E:6USFTUFRCY_1,"11, 12, 13, 15, 16, 17, 18",General Teaching,23,2,Friday,12,,
E:UPWHSSCSNC_1,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",General Teaching,72,1,Wednesday,17,,
E:1DGWEVHDOT_1,"10, 16",Computer Laboratory,44,1,Tuesday,17,,
E:93CECVO3RL_1,"11, 12, 13, 15, 16",General Teaching,60,1,Tuesday,14,,
E:92GGHXA8A2_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,25,1,Friday,10,,
E:PV2BMWX7S5_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,100,2,Wednesday,13,,
E:12DKCORHBQ_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,10,1,Monday,14,,
E:59YZAKTMG8_1,"15, 16, 17, 18, 19",General Teaching,135,2,Friday,12,,
E:HYQOVZYYZD_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",No room required,220,1,Monday,9,,
E:SQ7A12HO8G_1,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,65,1,Friday,15,,
E:JW5A33BBXB_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,18,1,Wednesday,9,,
E:UP7EXA3PB7_1,"10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,17,1,Monday,10,,
E:KTOQ1D5X4F_1,"15, 16, 17, 18, 19",General Teaching,35,2,Friday,13,,
E:7AT4Y21RSO_1,"28, 29, 30, 32, 33, 34, 35, 36",Computer Laboratory,13,1,Monday,17,,
E:Y3JW9ZYM5X_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,18,1,Thursday,13,,
E:GDEKHKTKFH_1,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",General Teaching,200,1,Tuesday,13,,
E:16CPPSZFQO_1,"11, 12, 13, 15, 16, 17, 18",General Teaching,15,1,Tuesday,16,,
E:XKEABHDR5Z_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,20,2,Friday,12,,
E:C9HB79BN5T_1,"30, 36",General Teaching,26,2,Thursday,15,,
E:LMKN6Q1959_1,"27, 29, 34",General Teaching,50,1,Monday,15,,
E:F38CP565E1_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,12,1,Thursday,11,,
E:LJED7A2J8L_1,"10, 11, 12, 13, 15, 18, 19",General Teaching,170,1,Thursday,16,,
E:ED811EUFV1_1,"13, 16",General Teaching,40,2,Thursday,12,,
E:BBA7J3OPTB_1,"10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,17,1,Tuesday,9,,
E:NZ2N6YWFZC_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,18,1,Thursday,13,,
E:SRWGRBT873_1,"34, 35, 36",General Teaching,100,2,Wednesday,16,,
