event1,event2,shared_students,week,day,start1,end1,start2,end2
E:GSTXJ5FAQX,E:J1ADJ99LDW-00001,5,13,Monday,0,2,0,8
E:GSTXJ5FAQX,E:JJ25VD32X2,6,17,Monday,0,2,0,2
E:HMZVDV3GNC,E:HMZVDV3GNC-00001,2,33,Monday,0,8,0,8
E:HMZVDV3GNC,E:JMMA74TVAL,1,33,Monday,0,8,0,8
E:HMZVDV3GNC,E:JMMA74TVAL-00001,1,33,Monday,0,8,0,8
E:HMZVDV3GNC,E:KVORI8AMQ8,1,33,Monday,0,8,0,2
E:HMZVDV3GNC,E:QKGMZP4WQR,1,33,Monday,0,8,0,2
E:HMZVDV3GNC-00001,E:JMMA74TVAL,1,33,Monday,0,8,0,8
E:HMZVDV3GNC-00001,E:JMMA74TVAL-00001,1,33,Monday,0,8,0,8
E:HMZVDV3GNC-00001,E:KVORI8AMQ8,1,33,Monday,0,8,0,2
E:HMZVDV3GNC-00001,E:QKGMZP4WQR,1,33,Monday,0,8,0,2
E:HO15VGOPTT,E:HO15VGOPTT-00001,8,10,Monday,0,8,0,8
E:HO15VGOPTT,E:YUF7HL9SZD,6,10,Monday,0,8,0,2
E:HO15VGOPTT,E:ZT75TK1WP6,1,10,Monday,0,8,0,1
E:HO15VGOPTT-00001,E:YUF7HL9SZD,6,10,Monday,0,8,0,2
E:HO15VGOPTT-00001,E:ZT75TK1WP6,1,10,Monday,0,8,0,1
E:J1ADJ99LDW,E:J1ADJ99LDW-00001,12,13,Monday,0,8,0,8
E:JMMA74TVAL,E:JMMA74TVAL-00001,8,33,Monday,0,8,0,8
E:JMMA74TVAL,E:KVORI8AMQ8,2,33,Monday,0,8,0,2
E:JMMA74TVAL,E:QKGMZP4WQR,6,33,Monday,0,8,0,2
E:JMMA74TVAL-00001,E:KVORI8AMQ8,2,33,Monday,0,8,0,2
E:JMMA74TVAL-00001,E:QKGMZP4WQR,6,33,Monday,0,8,0,2
E:KVORI8AMQ8,E:QKGMZP4WQR,9,33,Monday,0,2,0,2
E:PHG66J47DX,E:YUF7HL9SZD,13,16,Monday,0,2,0,2
E:PHG66J47DX,E:ZT75TK1WP6,2,16,Monday,0,2,0,1
E:YUF7HL9SZD,E:ZT75TK1WP6,3,10,Monday,0,2,0,1
E:1K54XPKGLW-00001,E:MUE3ZY48UQ,57,28,Monday,0,1,0,8
E:1K54XPKGLW-00001,E:MUE3ZY48UQ-00001,57,28,Monday,0,1,0,8
E:1K54XPKGLW-00001,E:MUE3ZY48UQ-00002,57,28,Monday,0,1,0,8
E:1K54XPKGLW-00001,E:MUE3ZY48UQ-00003,57,28,Monday,0,1,0,8
E:1K54XPKGLW-00001,E:MUE3ZY48UQ-00004,57,28,Monday,0,1,0,8
E:1K54XPKGLW-00001-00001,E:MUE3ZY48UQ,57,29,Monday,0,1,0,8
E:1K54XPKGLW-00001-00001,E:MUE3ZY48UQ-00001,57,29,Monday,0,1,0,8
E:1K54XPKGLW-00001-00001,E:MUE3ZY48UQ-00002,57,29,Monday,0,1,0,8
E:1K54XPKGLW-00001-00001,E:MUE3ZY48UQ-00003,57,29,Monday,0,1,0,8
E:1K54XPKGLW-00001-00001,E:MUE3ZY48UQ-00004,57,29,Monday,0,1,0,8
E:1K54XPKGLW-00001-00003,E:MUE3ZY48UQ,57,32,Monday,0,1,0,8
E:1K54XPKGLW-00001-00003,E:MUE3ZY48UQ-00001,57,32,Monday,0,1,0,8
E:1K54XPKGLW-00001-00003,E:MUE3ZY48UQ-00002,57,32,Monday,0,1,0,8
E:1K54XPKGLW-00001-00003,E:MUE3ZY48UQ-00003,57,32,Monday,0,1,0,8
E:1K54XPKGLW-00001-00003,E:MUE3ZY48UQ-00004,57,32,Monday,0,1,0,8
E:1K54XPKGLW-00001-00004,E:MUE3ZY48UQ,57,33,Monday,0,1,0,8
E:1K54XPKGLW-00001-00004,E:MUE3ZY48UQ-00001,57,33,Monday,0,1,0,8
E:1K54XPKGLW-00001-00004,E:MUE3ZY48UQ-00002,57,33,Monday,0,1,0,8
E:1K54XPKGLW-00001-00004,E:MUE3ZY48UQ-00003,57,33,Monday,0,1,0,8
E:1K54XPKGLW-00001-00004,E:MUE3ZY48UQ-00004,57,33,Monday,0,1,0,8
E:3YI78189P7,E:KE4E4TS5P9-00007-00001,13,11,Friday,2,3,2,4
E:3YI78189P7-00001,E:N2B1W9AHAM-00002-00027,57,11,Tuesday,5,6,5,6
E:4TLI6K7DCW-00002,E:REXFWK78ON-00011,13,10,Tuesday,0,3,0,1
E:58DQBOEJ4H,E:HI4YKASYP7-00002,58,36,Monday,0,3,0,1
E:58DQBOEJ4H,E:OGMTQZFYRI-00002-00003,13,36,Monday,0,3,0,3
E:6TDBABFEY7-00001,E:N2B1W9AHAM-00002-00014,13,37,Thursday,4,7,6,9
E:6Z4SIB5LWT,E:6Z4SIB5LWT-00001,57,16,Monday,0,8,0,8
E:6Z4SIB5LWT,E:6Z4SIB5LWT-00002,57,16,Monday,0,8,0,8
E:6Z4SIB5LWT,E:6Z4SIB5LWT-00003,57,16,Monday,0,8,0,8
E:6Z4SIB5LWT,E:6Z4SIB5LWT-00004,57,16,Monday,0,8,0,8
E:6Z4SIB5LWT,E:8BL3GNNNHP,57,16,Monday,0,8,0,1
E:6Z4SIB5LWT,E:8BL3GNNNHP-00001,57,17,Monday,0,8,0,1
E:6Z4SIB5LWT,E:8BL3GNNNHP-00002,57,18,Monday,0,8,0,1
E:6Z4SIB5LWT,E:8BL3GNNNHP-00003,57,19,Monday,0,8,0,1
E:6Z4SIB5LWT-00001,E:6Z4SIB5LWT-00002,57,16,Monday,0,8,0,8
