event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus,week
E:N9V1RDYI7V,"26, 27",General Teaching,90,2,Tuesday,9,2701_00_GU318,Bioquarter,26
E:N9V1RDYI7V,"26, 27",General Teaching,90,2,Tuesday,9,0632_00_G.009,Kings Buildings,27
E:4731HA5XUZ,"11, 13",General Teaching,12,2,Monday,10,0113_01M_01M.20,Central,11
E:4731HA5XUZ,"11, 13",General Teaching,12,2,Monday,10,0450_01_1.62,Central,13
E:5TAKAOI36Q,"12, 15",General Teaching,12,2,Wednesday,12,0110_02_2.07,Central,12
E:5TAKAOI36Q,"12, 15",General Teaching,12,2,Wednesday,12,0003_01_1.05,Central,15
E:SZR6U5ZDL7,"11, 12",General Teaching,16,1,Monday,17,0228_11_11.01,Central,11
E:SZR6U5ZDL7,"11, 12",General Teaching,16,1,Monday,17,0591_-1_B1.02,Holyrood,12
E:XV4OBV8ARH,"26, 27",General Teaching,70,2,Tuesday,9,0209_02_2.01,Central,26
E:XV4OBV8ARH,"26, 27",General Teaching,70,2,Tuesday,9,0209_02_2.01,Central,27
E:T7NW9NU2R7,"11, 12",General Teaching,16,1,Tuesday,14,0001_01_1.270,Central,11
E:T7NW9NU2R7,"11, 12",General Teaching,16,1,Tuesday,14,0254_01_1.08,Central,12
E:IT6GQHICU1,"26, 27",General Teaching,40,2,Tuesday,9,0214_00_G.02,Central,26
E:IT6GQHICU1,"26, 27",General Teaching,40,2,Tuesday,9,0214_00_G.02,Central,27
E:K1LAFFSPL6,"28, 29",General Teaching,25,2,Thursday,10,0110_02_2.01,Central,28
E:K1LAFFSPL6,"28, 29",General Teaching,25,2,Thursday,10,0110_02_2.01,Central,29
E:NM7Y8JAB8Y,"27, 28",General Teaching,12,2,Tuesday,9,0551_00_G32,Holyrood,27
E:NM7Y8JAB8Y,"27, 28",General Teaching,12,2,Tuesday,9,0003_01_1.05,Central,28
E:EBCT2AABHB,"12, 15",General Teaching,50,2,Wednesday,12,0113_00_G.03,Central,12
E:EBCT2AABHB,"12, 15",General Teaching,50,2,Wednesday,12,0226_01_1.02,Central,15
